"","latitude","longitude","local_site_name","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2021-03-01","2021-03-02","2021-03-03","2021-03-04","2021-03-05","2021-03-06","2021-03-07","2021-03-08","2021-03-09","2021-03-10","2021-03-11","2021-03-12","2021-03-13","2021-03-14","2021-03-15","2021-03-16","2021-03-17","2021-03-18","2021-03-19","2021-03-20","2021-03-21","2021-03-22","2021-03-23","2021-03-24","2021-03-25","2021-03-26","2021-03-27","2021-03-28","2021-03-29","2021-03-30","2021-03-31","2021-04-01","2021-04-02","2021-04-03","2021-04-04","2021-04-05","2021-04-06","2021-04-07","2021-04-08","2021-04-09","2021-04-10","2021-04-11","2021-04-12","2021-04-13","2021-04-14","2021-04-15","2021-04-16","2021-04-17","2021-04-18","2021-04-19","2021-04-20","2021-04-21","2021-04-22","2021-04-23","2021-04-24","2021-04-25","2021-04-26","2021-04-27","2021-04-28","2021-04-29","2021-04-30","2021-05-01","2021-05-02","2021-05-03","2021-05-04","2021-05-05","2021-05-06","2021-05-07","2021-05-08","2021-05-09","2021-05-10","2021-05-11","2021-05-12","2021-05-13","2021-05-14","2021-05-15","2021-05-16","2021-05-17","2021-05-18","2021-05-19","2021-05-20","2021-05-21","2021-05-22","2021-05-23","2021-05-24","2021-05-25","2021-05-26","2021-05-27","2021-05-28","2021-05-29","2021-05-30","2021-05-31"
"1",30.497478,-87.880258,"FAIRHOPE, Alabama",0.051,NA,0.042,0.035,0.035,0.041,0.041,0.044,0.04,0.045,0.039,0.036,0.033,0.034,0.042,0.038,0.033,0.028,0.033,0.026,0.028,0.025,0.031,0.031,0.043,0.049,0.03,0.035,0.035,0.044,0.04,0.048,0.048,0.049,0.045,0.044,0.045,0.036,0.029,0.04,0.043,0.048,0.027,0.055,0.034,0.044,0.048,0.043,0.036,0.031,0.039,0.049,0.05,0.048,0.046,0.056,0.043,0.043,0.051,0.048,0.047,0.054,0.057,0.048,0.048,0.041,0.049,0.044,0.051,0.039,0.048,0.046,0.051,0.046,0.042,0.038,0.035,0.04,0.033,0.062,0.027,0.04,0.025,0.019,0.036,0.035,0.03,0.041,0.053,0.047,0.046,0.046,"minus2",NA,"minus2","minus1","minus1","minus2","minus2","minus2","minus1","minus2","minus1","minus1","minus1","minus1","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus1","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus2","minus2","minus1","plus1","minus1","minus2","minus2","minus2","minus1","minus1","minus1","minus2","minus2","minus2","minus2","plus1","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","plus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus2"
"2",34.289001,-85.970065,"Sand Mountain",0.053,0.041,0.04,0.038,0.038,0.043,0.044,0.049,0.042,0.035,0.035,0.035,0.03,0.034,0.024,0.021,0.031,0.035,0.029,0.035,0.027,0.031,0.014,0.029,0.039,0.05,0.052,0.038,0.047,0.047,0.042,0.04,0.045,0.049,0.052,0.055,0.053,0.044,0.029,0.046,0.046,0.049,0.04,0.034,0.042,0.05,0.051,0.05,0.039,0.032,0.047,0.049,0.042,0.038,0.04,0.043,0.041,0.047,0.053,0.044,0.047,0.057,0.058,0.06,0.045,0.033,0.037,0.047,0.038,0.047,0.049,0.047,0.045,0.047,0.047,0.046,0.043,0.031,0.037,0.041,0.037,0.036,0.041,0.03,0.041,0.04,0.034,0.048,0.044,0.05,0.049,0.042,"minus2","minus2","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus1","minus2","minus2","minus2","minus1","minus2","minus2","minus2","plus1","minus2","minus2","minus1","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus2","minus2","plus1","plus1","plus1","minus2","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus1","minus1","minus2","minus1","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus2"
"3",33.904039,-86.053867,"SOUTHSIDE",0.05,0.04,0.033,0.037,0.037,0.042,0.042,0.046,0.042,0.034,0.031,0.035,0.027,0.033,0.028,0.018,0.026,0.033,0.027,0.032,0.027,0.033,0.013,0.03,0.039,0.044,0.047,0.033,0.044,0.047,0.041,0.042,0.044,0.045,0.051,0.05,0.046,0.033,0.026,0.047,0.047,0.046,0.043,0.034,0.043,0.05,0.051,0.047,0.038,0.029,0.046,0.049,0.037,0.034,0.04,0.043,0.044,0.05,0.046,0.04,0.048,0.055,0.053,0.057,0.042,0.035,0.04,0.048,0.035,0.046,0.047,0.048,0.046,0.045,0.045,0.042,0.039,0.027,0.033,0.036,0.033,0.035,0.039,0.025,0.034,0.036,0.027,0.043,0.037,0.044,0.048,0.047,"minus2","minus1","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus2","plus1","minus2","plus1","minus2","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus1","minus2","minus2","minus2"
"4",33.553056,-86.815,"North Birmingham",0.053,0.034,0.035,0.043,0.038,0.045,0.044,0.047,0.044,0.035,0.028,0.037,0.023,0.034,0.024,0.031,0.038,0.032,0.036,0.036,0.028,0.032,0.019,0.032,0.043,0.053,0.048,0.039,0.05,0.05,0.04,0.05,0.047,0.053,0.055,0.057,0.062,0.035,0.027,0.047,0.05,0.057,0.048,0.036,0.048,0.054,0.055,0.05,0.041,0.03,0.051,0.05,0.038,0.039,0.042,0.046,0.048,0.051,0.048,0.041,0.044,0.054,0.051,0.057,0.045,0.031,0.042,0.046,0.031,0.047,0.052,0.047,0.055,0.057,0.046,0.047,0.043,0.03,0.04,0.037,0.039,0.043,0.033,0.029,0.048,0.034,0.027,0.041,0.043,0.054,0.051,0.047,"minus2","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus2","minus1","minus2","minus2","minus1","minus2","minus2","minus2","plus1","plus1","plus1","minus1","minus1","minus2","minus2","plus1","minus2","minus1","minus2","minus2","plus1","minus2","minus2","minus1","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","minus1","minus2","minus2","minus1","minus2","minus2","minus2","plus1","plus1","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus2","minus1","minus1","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus2"
"5",33.485556,-86.915,"Fairfield",0.054,0.037,0.03,0.043,0.035,0.042,0.043,0.047,0.045,0.034,0.023,0.035,0.019,0.03,0.022,0.028,0.039,0.031,0.035,0.032,0.024,0.03,0.017,0.03,0.036,0.048,0.045,0.038,0.044,0.045,0.035,0.044,0.044,0.048,0.051,0.053,0.055,0.031,0.024,0.042,0.045,0.053,0.044,0.029,0.043,0.049,0.054,0.046,0.037,0.027,0.046,0.044,0.037,0.039,0.04,0.042,0.044,0.045,0.049,0.043,0.04,0.05,0.052,0.056,0.044,0.031,0.039,0.046,0.03,0.046,0.048,0.046,0.056,0.056,0.052,0.049,0.043,0.031,0.042,0.034,0.043,0.044,0.034,0.031,0.043,0.039,0.031,0.041,0.043,0.049,0.05,0.047,"minus2","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus1","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","plus1","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus2","minus1","minus2","minus2","plus1","minus2","minus1","minus1","minus2","minus1","minus2","minus2","minus2","plus1","plus1","minus2","minus2","minus2","minus1","minus2","minus1","minus2","minus2","minus1","minus1","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus2"
"6",33.801667,-86.9425,"Corner",0.054,0.039,0.035,0.041,0.039,0.044,0.042,0.046,0.044,0.035,0.031,0.035,0.027,0.035,0.02,0.027,0.036,0.032,0.032,0.035,0.024,0.032,0.018,0.03,0.034,0.052,0.046,0.037,0.046,0.049,0.04,0.046,0.045,0.047,0.052,0.055,0.056,0.035,0.026,0.042,0.046,0.056,0.04,NA,0.046,0.05,0.052,0.05,0.04,0.029,0.048,0.049,0.038,0.038,0.04,0.044,0.047,0.046,0.051,0.047,0.047,0.052,0.058,0.056,0.046,0.032,0.042,0.047,0.034,0.048,0.047,0.048,0.056,0.055,0.054,0.05,0.047,0.034,0.041,0.035,0.041,0.047,0.037,0.029,0.042,0.037,0.031,0.046,0.046,0.048,0.051,0.046,"minus2","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus1","minus2","minus2","minus1","minus2","minus2","minus2","minus2","plus1","plus1","minus1","minus1","minus2","minus2","plus1","minus1",NA,"minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","plus1","minus2","minus1","minus2","minus2","minus1","minus2","minus2","minus2","plus1","plus1","minus2","minus2","minus2","minus1","minus2","minus1","minus2","minus2","minus1","minus1","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus2"
"7",33.578333,-86.773889,"Tarrant Elementary School",0.049,0.031,0.029,0.04,0.032,0.038,0.04,0.044,0.042,0.032,0.023,0.033,0.017,0.031,0.022,0.028,0.034,0.03,0.032,0.033,0.024,0.03,0.015,0.029,0.036,0.05,0.047,0.037,0.043,0.043,0.034,0.046,0.043,0.047,0.051,0.051,0.057,0.034,0.023,0.043,0.044,0.052,0.041,0.029,0.043,0.048,0.051,0.048,0.036,0.027,0.044,0.038,0.037,0.037,0.037,0.042,0.04,0.046,0.051,0.042,0.04,0.048,0.051,0.057,0.046,0.031,0.036,0.046,0.027,0.045,0.046,0.042,0.054,0.057,0.047,0.047,0.043,0.032,0.041,0.028,NA,0.043,0.035,0.029,0.05,0.035,0.029,0.042,0.046,0.053,0.048,0.046,"minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus1","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","plus1","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus1","minus1","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus1","minus2","minus2","plus1","minus2","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus2","plus1","minus2","minus2","minus2","minus1","minus2","minus1",NA,"minus2","minus1","minus1","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus2"
"8",34.687761,-86.586362,"HUNTSVILLE OLD AIRPORT",0.056,0.041,0.043,0.032,0.035,0.042,0.042,0.047,0.045,0.033,0.033,0.038,0.033,0.031,0.026,0.018,0.03,0.034,0.034,0.033,0.026,0.036,0.02,0.029,0.036,0.056,0.044,0.038,0.047,0.04,0.043,0.042,0.045,0.056,0.053,0.055,0.052,0.04,0.031,0.048,0.047,0.051,0.044,0.029,0.046,0.051,0.053,0.053,0.041,0.035,0.048,0.048,0.044,0.042,0.042,0.043,0.043,0.049,0.054,0.045,0.049,0.058,0.053,0.052,0.052,0.033,0.035,NA,0.038,0.049,0.05,0.047,0.043,0.052,0.049,0.046,0.047,0.031,0.04,0.039,0.039,0.041,0.042,0.031,0.045,0.042,0.034,0.043,0.041,0.048,0.052,0.044,"plus1","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","plus1","minus2","minus1","minus2","minus1","minus2","minus2","minus2","plus1","minus2","plus1","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","minus2","minus2","minus1","minus1",NA,"minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus2","minus2","minus1","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2"
"9",30.770181,-88.087761,"CHICKASAW",NA,NA,NA,NA,NA,NA,NA,NA,0.039,0.038,0.034,0.034,0.034,0.033,0.044,0.038,0.033,0.027,0.031,0.026,0.031,0.027,0.028,0.034,0.043,0.057,0.032,0.036,0.039,0.043,0.039,0.048,0.051,0.047,0.043,0.046,0.048,0.034,0.028,0.039,0.047,0.05,NA,NA,NA,0.045,NA,NA,NA,NA,NA,0.044,0.049,0.034,0.042,0.048,0.045,0.047,0.049,0.044,0.047,0.057,0.058,0.048,NA,0.038,0.05,0.047,0.049,0.043,0.048,0.048,0.053,0.049,0.044,0.039,0.039,0.029,0.027,0.054,0.023,0.045,0.025,0.022,0.034,0.035,0.031,0.045,0.054,0.046,0.047,0.049,NA,NA,NA,NA,NA,NA,NA,NA,"minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","plus1","minus1","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus2","minus2",NA,NA,NA,"minus2",NA,NA,NA,NA,NA,"minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","plus1","minus2",NA,"minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus2","minus1","minus2","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus2"
"10",32.412811,-86.263394,"MOMS, ADEM",NA,NA,NA,0.041,0.037,0.041,0.041,0.046,0.041,0.033,0.026,0.035,0.03,0.035,0.039,NA,0.034,0.03,0.036,0.033,0.034,0.024,0.02,NA,0.041,0.047,0.041,0.039,0.043,0.042,0.037,0.047,0.042,0.053,0.049,0.051,0.049,0.036,0.025,0.049,0.046,0.047,0.04,0.043,0.04,0.048,0.05,0.047,0.041,0.03,0.043,0.044,0.038,0.033,0.038,0.045,0.044,0.047,0.052,0.041,0.042,0.051,0.057,0.053,0.048,0.037,0.049,0.05,0.04,0.042,0.049,0.049,0.05,0.054,0.046,0.043,0.041,0.026,0.039,0.045,0.039,0.04,0.025,0.032,0.033,0.034,0.026,0.021,0.044,0.045,0.045,0.047,NA,NA,NA,"minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1",NA,"minus1","minus1","minus1","minus1","minus1","minus1","minus1",NA,"minus2","minus2","minus2","minus1","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus1","minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","minus2","minus1","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus2","minus2"
"11",34.530717,-86.967536,"DECATUR, Alabama",0.054,0.04,0.041,0.031,0.035,0.042,0.042,0.046,0.044,0.032,0.031,0.036,0.035,0.027,0.026,0.019,0.034,0.035,0.03,0.035,0.026,0.035,0.018,0.028,0.038,0.051,0.042,0.037,0.047,0.04,0.043,0.043,0.047,0.055,0.053,0.056,0.051,0.036,0.032,0.048,0.045,0.053,0.043,0.026,0.046,0.051,0.055,0.051,0.041,0.03,0.049,0.048,0.04,0.04,0.042,0.042,0.043,0.048,0.046,0.043,0.048,0.058,0.049,0.051,0.042,0.031,0.036,0.047,0.039,0.046,0.046,0.046,0.042,0.052,0.052,0.046,0.044,0.029,0.039,0.035,0.045,0.039,0.037,0.028,0.042,0.037,0.03,0.037,0.04,0.041,0.051,0.044,"minus2","minus1","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus1","minus2","minus1","minus2","minus2","minus2","plus1","minus2","plus1","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus2","minus2","plus1","minus2","minus2","minus1","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","minus2","minus2","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus2","minus1","minus1","minus1","minus2","minus1","minus1","minus1","minus1","minus2","minus2","minus2"
"12",33.317142,-86.825754,"HELENA",0.049,0.034,0.033,0.043,0.034,0.042,0.041,0.045,0.041,0.033,0.025,0.036,0.021,0.028,0.023,0.035,0.038,0.03,0.034,0.032,0.024,0.027,0.016,0.029,0.041,0.046,0.042,0.038,0.047,0.044,0.037,0.045,0.047,0.053,0.055,0.054,0.048,0.027,0.022,0.045,0.045,0.048,0.044,0.033,0.043,0.049,0.051,0.044,0.039,0.025,0.046,0.046,0.033,0.032,0.039,0.042,0.044,0.046,0.045,0.038,0.044,0.051,0.048,0.05,0.039,0.034,0.043,0.048,0.033,0.046,0.05,0.048,0.051,0.052,0.046,0.046,0.038,0.029,0.036,0.036,0.045,0.036,0.031,0.026,0.032,0.034,0.027,0.037,0.037,0.049,0.05,0.048,"minus2","minus1","minus1","minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus2","minus1","minus2","minus2","minus1","minus2","minus2","minus2","plus1","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus2"
"13",63.7232,-148.9676,"Denali NP & PRES - Headquarters",0.045,0.037,0.038,0.038,0.04,0.044,0.044,0.042,0.04,0.04,0.042,0.044,0.045,0.046,0.048,0.048,0.051,0.045,0.048,0.043,0.044,0.041,0.046,0.049,0.045,0.044,0.043,0.039,0.041,0.046,0.045,0.047,0.046,0.044,0.045,0.042,0.04,0.042,0.044,0.046,0.047,0.052,0.056,0.046,0.046,0.043,0.036,0.041,0.038,0.041,0.035,0.031,0.035,0.04,0.041,0.041,0.049,0.046,0.045,0.046,0.048,0.047,0.044,0.042,0.04,0.042,0.045,0.045,0.048,0.052,0.047,0.042,0.044,0.033,0.036,0.039,0.035,0.037,0.04,0.038,0.038,0.037,0.045,0.039,0.031,0.025,0.031,0.032,0.029,0.04,0.039,0.035,"minus2","minus1","minus1","minus1","minus1","minus2","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","plus1","minus2","minus2","minus2","minus1","minus2","minus1","minus2","minus1","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus2","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1","minus1"
"14",32.00941,-109.38906,"Chiricahua NM - Entrance Station",0.038,0.04,0.036,0.043,0.047,0.043,0.044,0.038,0.04,0.027,0.031,0.041,0.042,0.05,0.055,0.053,0.052,0.045,0.047,0.049,0.052,0.055,0.052,0.051,0.051,0.043,0.05,0.051,0.051,0.053,0.05,0.051,0.049,0.049,0.05,0.05,0.049,0.043,0.044,0.049,0.055,0.048,0.046,0.047,NA,0.051,0.055,0.054,0.051,0.054,0.053,0.053,0.054,0.053,0.056,0.053,0.054,0.054,0.056,0.052,NA,0.054,0.046,0.054,0.057,0.06,0.064,0.066,0.058,0.056,0.059,0.054,0.055,0.05,0.054,0.054,0.053,0.058,0.055,0.053,0.055,0.06,0.057,0.051,0.06,0.056,0.061,0.053,0.052,0.047,0.048,0.049,"minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus2","minus2","minus2","plus1","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","minus2","minus2",NA,"minus2","plus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","minus2","minus2","plus1","minus2",NA,"minus2","minus2","minus2","plus1","plus1","plus1","plus1","plus1","plus1","plus1","minus2","plus1","minus2","minus2","minus2","minus2","plus1","plus1","minus2","plus1","plus1","plus1","minus2","plus1","plus1","plus1","minus2","minus2","minus2","minus2","minus2"
"15",36.05864,-112.1836,"Grand Canyon NP - The Abyss",0.046,0.043,NA,0.043,0.044,0.048,0.048,0.045,0.044,NA,0.03,0.04,0.039,0.037,0.042,0.047,0.041,0.045,0.042,0.045,0.047,0.046,0.046,0.049,0.05,0.054,0.048,0.045,0.049,0.05,0.048,0.048,0.045,0.048,0.052,0.047,0.05,0.049,0.044,0.048,0.047,0.046,0.042,0.05,0.049,0.045,0.051,0.053,0.05,0.048,0.054,0.053,0.049,0.047,0.049,0.046,0.053,0.054,0.05,0.045,0.052,0.055,0.05,0.056,0.051,0.054,0.068,0.06,0.057,0.064,0.056,0.05,0.049,0.053,0.053,0.049,0.048,0.053,0.055,0.052,0.05,0.058,0.06,0.057,0.052,0.051,0.05,0.044,0.047,0.048,0.05,0.048,"minus2","minus2",NA,"minus2","minus2","minus2","minus2","minus2","minus2",NA,"minus1","minus1","minus1","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","plus1","minus2","minus2","plus1","plus1","plus1","plus1","plus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","minus2","plus1","plus1","plus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2"
"16",33.48378,-112.14256,"WEST PHOENIX",0.043,0.043,0.039,0.037,0.043,0.049,0.046,0.042,0.043,0.032,0.013,0.023,0.027,0.035,0.041,0.042,0.036,0.033,0.044,0.042,0.044,0.044,0.038,0.044,0.044,0.045,0.048,0.048,0.053,0.05,0.048,0.051,0.046,0.049,0.051,0.047,0.044,0.044,0.036,0.051,0.05,0.042,0.046,0.043,0.052,0.054,0.054,0.052,0.047,0.052,0.053,0.051,0.055,0.054,0.058,0.054,0.058,0.054,0.062,0.066,0.064,0.053,0.048,0.056,0.065,NA,0.071,0.073,0.057,0.051,0.063,0.057,0.051,0.047,0.058,0.057,0.058,0.054,0.051,0.048,0.057,0.067,0.063,0.055,0.056,0.059,0.064,0.057,0.057,0.076,0.055,0.059,"minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus2","minus1","minus1","minus1","minus1","minus1","minus2","minus2","minus1","minus1","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus1","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","minus2","plus1","minus2","plus1","minus2","plus1","minus2","plus1","plus1","plus1","minus2","minus2","plus1","plus1",NA,"plus2","plus2","plus1","minus2","plus1","plus1","minus2","minus2","plus1","plus1","plus1","minus2","minus2","minus2","plus1","plus1","plus1","plus1","plus1","plus1","plus1","plus1","plus1","plus2","plus1","plus1"
